Item,Quantity,Unit price,Total price,Link
Fan,1,4.79,4.79,https://www.aliexpress.us/item/3256808462428286.html?spm=a2g0o.productlist.main.1.6babkeHNkeHNko&algo_pvid=c39052da-f6dd-4b67-816a-d90e786c586d&algo_exp_id=c39052da-f6dd-4b67-816a-d90e786c586d-0&pdp_ext_f=%7B%22order%22%3A%2262%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.50%214.79%21%21%2178.10%2132.53%21%402101d6ff17774285328603962e8757%2112000046088904920%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=VweLjIS1lGkI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008648743038%7C_p_origin_prod%3A
Peltier,1,3.74$,$3.74,https://www.aliexpress.us/item/3256806863842277.html?src=google&gatewayAdapt=glo2usa
Heatsink,2,4.80$,$9.79,https://www.amazon.com/Awxlumv-Aluminum-60mmx60mmx15mm-Conductive-Amplifier/dp/B0DNLXD4NL
LCD screen,1,0.9900$,0.99,https://www.aliexpress.us/item/3256807264700302.html?spm=a2g0o.productlist.main.15.3bb1HGrhHGrhWv&algo_pvid=f071bd73-714c-4717-acaa-3f74ef8deb17&algo_exp_id=f071bd73-714c-4717-acaa-3f74ef8deb17-14&pdp_ext_f=%7B%22order%22%3A%223710%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.14%210.99%21%21%213.14%210.99%21%4021030a6217776832914577048eb84d%2112000040806152744%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537378&curPageLogUid=GNgXD2HWAIP5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007451015054%7C_p_origin_prod%3A#nav-specification
Thermistor,1,1.2900$,1.29,https://www.aliexpress.us/item/3256807948165582.html?spm=a2g0o.productlist.main.10.3b6cngTZngTZYe&algo_pvid=c4718ee2-7669-4c37-976e-20de6108f65b&algo_exp_id=c4718ee2-7669-4c37-976e-20de6108f65b-9&pdp_ext_f=%7B%22order%22%3A%226784%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.22%211.22%21%21%218.38%218.38%21%402101e83017745636049766689e1748%2112000043932511903%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895&curPageLogUid=aQ76dfXS5OT1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008134480334%7C_p_origin_prod%3A
Terminal Block,5,0.0904$,0.45,https://www.lcsc.com/product-detail/C394556.html?s_z=n_JILN%2520JL126-50002G01
Battery,1,11.33$,$11.33,https://www.amazon.com/MNJKH-2600mah-Rechargeable-Lithium-Connector/dp/B08PK7RPJ9/ref=sr_1_2?crid=309C1V2Y2NXRN&dib=eyJ2IjoiMSJ9.8uwvFOd11xwIaBE3udmU0Dgi9hxeTqHY751SUMe0D3Ae7-tUy1t0NCpfixK7pEvjsC-2RWrF8kQ8OCxgn8_CryPBfTy5jeUaamnc8rdVOWdFg13NTFdTtZxEGUj1Fcw8FkHZ6xGvQ5eR0-tpnnkeTw.xZS9p4RJa2Qu3q1pgKC8ovmtDbMHQZcDLdrw17UbGjI&dib_tag=se&keywords=3s+%28series%29+li-ion+pack+%E2%80%94+11.1v+nominal%3A&qid=1777997811&s=electronics&sprefix=%2Celectronics%2C563&sr=1-2
,,,,
AO3400A for fan,5,0.0828$,$0.41,https://www.lcsc.com/product-detail/C20917.html?s_z=n_q_C20917&globalKeyword=C20917
SS54 Diode,10,0.0364$,0.3600$,https://www.lcsc.com/product-detail/C22452.html?s_z=n_q_SS54%2520diode&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlNaVVRURldfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1dZUUoOAwwC
,,,,
5A fuse,10,0.0506$,$0.51,https://www.lcsc.com/product-detail/C41367229.html?s_z=n_q_t_5A%2520smd%2520fuse&spm=wm.fly.bg.0.xh___wm.ssy.tc.1.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlVfX1JWRFhbVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1hcUV1ST1ZADxALGw%3D%3D
16 Mhz cyrstal ,5,0.2238$,$1.12,https://www.lcsc.com/product-detail/C122519.html?s_z=n_q_C122519&globalKeyword=C122519
Ferrite Bead ,10,0.0300$,$0.30,https://www.lcsc.com/product-detail/C21519.html?s_z=n_q_600%2520ohm%2520ferrite%2520bead%25200805&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlNeUFZWRFZaXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQFFbUVZIHxUDCw%3D%3D
,,,,
Buttons,20,0.0495$,0.99$,https://www.aliexpress.us/item/3256801626723541.html?spm=a2g0o.productlist.main.1.12b8ACLcACLcGX&algo_pvid=e552acac-1c79-4230-9300-d981c55b0141&algo_exp_id=e552acac-1c79-4230-9300-d981c55b0141-0&pdp_ext_f=%7B%22order%22%3A%2234%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.27%210.99%21%21%212.27%210.99%21%402101e80f17745569390607873e73cb%2112000017946375833%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847505&curPageLogUid=1eLJ6XUF45iq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001813038293%7C_p_origin_prod%3A
Terminal Block,5,0.0904$,0.45,https://www.lcsc.com/product-detail/C394556.html?s_z=n_JILN%2520JL126-50002G01
Barrel Jack ,5,0.1462$,$0.73,https://www.lcsc.com/product-detail/C720558.html?s_z=n_q_barrel%2520jack%25205A&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRTlVfU1NRRlVfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRRVBADxALGw%3D%3D
JST female,20,0.0379$,0.76$,https://www.lcsc.com/product-detail/C158012.html?s_z=n_q_C158012&globalKeyword=C158012
4 Pin connector for LCD,10,0.0807$,0.81$,https://www.lcsc.com/product-detail/C50950.html?s_z=n_q_C50950&globalKeyword=C50950
Arundio flash,5,0.2238$,1.12$,https://www.lcsc.com/product-detail/C50980.html?s_z=n_q_C50980&globalKeyword=C50980
USB,5,$0.1725,$0.86,https://www.lcsc.com/product-detail/C165948.html?s_z=n_q_C165948&globalKeyword=C165948
,,,,
33uH buck Inductor,5,0.2204$,1.10$,https://www.lcsc.com/product-detail/C9400.html?s_z=n_q_t_33uH%2520SMD%2520ind&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1leX1JUQFNXUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
2.2uH boost Inductor,5,0.1161$,$0.58,https://www.lcsc.com/product-detail/C7461347.html?s_z=n_q_CXP0530-2R2M-AG&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1leX11TRlhaUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRllfSQwSGg0%3D
120K resistor,100,$0.0022,$0.22,https://www.lcsc.com/product-detail/C2907223.html?s_z=n_q_C2907223&globalKeyword=C2907223
100K resistor,100,$0.0028,$0.28,https://www.lcsc.com/product-detail/C149504.html?s_z=n_q_C149504&globalKeyword=C149504
 90K resitor,10,$0.0654,$0.65,https://www.lcsc.com/product-detail/C5123603.html?s_z=n_q_C5123603&globalKeyword=C5123603
68K resistor ,100,$0.0021,$0.21,https://www.lcsc.com/product-detail/C2907283.html?s_z=n_q_C2907283&globalKeyword=C2907283
51k resistor,100,$0.0021,$0.21,https://www.lcsc.com/product-detail/C2933461.html?s_z=n_q_C2933461&globalKeyword=C2933461
47K resistor,100,$0.0021,$0.21,https://www.lcsc.com/product-detail/C2930202.html?s_z=n_q_C2930202&globalKeyword=C2930202
10K resistor,100,$0.0020,$0.20,https://www.lcsc.com/product-detail/C2907219.html?s_z=n_q_C2907219&globalKeyword=C2907219
5.1K resistor,100,$0.00,$0.27,https://www.lcsc.com/product-detail/C27834.html?s_z=n_q_C27834&globalKeyword=C27834
3.3K resistor,100,$0.0020,$0.20,https://www.lcsc.com/product-detail/C2907023.html?s_z=n_q_t_3.3K%2520resistor&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVBUTlNfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVZWVFBIHxUDCw%3D%3D
1k resistor,100,$0.0015,$0.15,https://www.lcsc.com/product-detail/C22548.html?s_z=n_q_t_1k%2520resistor&spm=wm.fly.bg.0.cbh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVFUQFJfUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVheUFZSTk8GEwkK
100Ω resistor,100,$0.0014,$0.14,https://www.lcsc.com/product-detail/C105588.html?s_z=n_q_t_100%25CE%25A9%2520resistor&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUVxWQ1RbXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
470uF capacitor,5,$0.0875,$0.44,https://www.lcsc.com/product-detail/C976030.html
220uF capacitor,10,$0.0276,$0.28,https://www.lcsc.com/product-detail/C22388075.html?s_z=n_q_220uF%2520%25C2%25B120%2525%252025V%2520Aluminum%2520Electrolytic%2520Capacitors%2520SMD&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFxUQ1NdVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVeSQwSGg0%3D
100uF capacitor,20,$0.0372,$0.74,https://www.lcsc.com/product-detail/C970685.html?s_z=n_q_C970685&globalKeyword=C970685
22uF capacitor,20,$0.0349,$0.70,https://www.lcsc.com/product-detail/C45783.html?s_z=n_q_C45783&globalKeyword=C45783
10uF capacitor,10,$0.0394,$0.39,https://www.lcsc.com/product-detail/C9807.html?s_z=n_q_10uF%2520%25C2%25B110%2525%252025V%2520Ceramic%2520Capacitor&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFNSQVNXVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRWUlRIHxUDCw%3D%3D
1uF capacitor,50,$0.0069,$0.35,https://www.lcsc.com/product-detail/C29936.html?s_z=n_q_1uF%2520%25C2%25B110%2525%252025V%2520Ceramic%2520Capacitor%2520&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFBfTlhZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlBXXlxRRU8GEwkK
0.1uF capacitor,100,$0.004,$0.40,https://www.lcsc.com/product-detail/C1590.html?s_z=n_q_100nF%2520%25C2%25B110%2525%252025V%2520Ceramic%2520Capacitor%2520&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfUFFfRVVdVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlVYUVdIHxUDCw%3D%3D
22pF capacitor,100,$0.0041,$0.41,https://www.lcsc.com/product-detail/C1653.html?s_z=n_q_C1653&globalKeyword=C1653
,,,,
ST VNH5019ATR-E,1,9.36$,9.36$,https://www.lcsc.com/product-detail/C2653552.html?s_z=n_VNH5019A-E&spm=wm.ssy.bg.0.stp&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZV1NQRFZcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlJZUlRIHxUDCw%3D%3D
LM2596S-5.0,1,1.42$,1.42$,https://www.lcsc.com/product-detail/C116713.html?s_z=n_LM2596S-5&spm=wm.ssy.bg.17.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQ1VZVVdQR1leVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlRdVVZUWQkaCgg%3D
WCH CH224K,1,$0.61,$0.61,https://www.lcsc.com/product-detail/C970725.html?s_z=n_q_CH224K&spm=wm.ssy.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRQFZaUldfQlhfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
IP2326,1,$0.62,$0.62,https://www.lcsc.com/product-detail/C2832094.html?s_z=n_q_IP2326&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfVVxfQFdeXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slTlZeUFZTWQkaCgg%3D
ATMEGA328P-AU,1,$2.65,$2.65,https://www.lcsc.com/product-detail/C14877.html?s_z=n_q_ATmega328P-A&spm=wm.fly.bg.0.xh&lcsc_vid=QFJaAQFeTlFdU1xXTwILAlBQQQILVwYAQQALAlYEFFYxVlNRT1lfVFReT1FZVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVldVVRfQ08GEwkK